Id,ProductId,Score,Summary,Text,rating,category,gender
1,P1,4,Sample review,This is a sample product review,4,Cosmetics,Male
2,P1,2,Sample review,This is a sample product review,2,Books,Male
3,P2,1,Sample review,This is a sample product review,1,Footwear,Male
4,P3,2,Sample review,This is a sample product review,2,Food,Female
5,P3,5,Sample review,This is a sample product review,5,Cosmetics,Male
6,P3,3,Sample review,This is a sample product review,3,Books,Male
7,P3,1,Sample review,This is a sample product review,1,Cosmetics,Male
8,P2,5,Sample review,This is a sample product review,5,Footwear,Male
9,P4,2,Sample review,This is a sample product review,2,Books,Male
10,P2,3,Sample review,This is a sample product review,3,Food,Female
11,P1,3,Sample review,This is a sample product review,3,Footwear,Male
12,P2,1,Sample review,This is a sample product review,1,Food,Male
13,P2,3,Sample review,This is a sample product review,3,Books,Male
14,P1,4,Sample review,This is a sample product review,4,Footwear,Female
15,P3,4,Sample review,This is a sample product review,4,Food,Female
16,P3,1,Sample review,This is a sample product review,1,Clothing,Male
17,P2,2,Sample review,This is a sample product review,2,Clothing,Female
18,P4,3,Sample review,This is a sample product review,3,Clothing,Female
19,P1,1,Sample review,This is a sample product review,1,Clothing,Male
20,P2,4,Sample review,This is a sample product review,4,Clothing,Female
21,P4,1,Sample review,This is a sample product review,1,Books,Male
22,P3,5,Sample review,This is a sample product review,5,Cosmetics,Female
23,P2,3,Sample review,This is a sample product review,3,Food,Female
24,P1,5,Sample review,This is a sample product review,5,Cosmetics,Male
25,P3,5,Sample review,This is a sample product review,5,Clothing,Male
26,P1,1,Sample review,This is a sample product review,1,Books,Male
27,P4,1,Sample review,This is a sample product review,1,Food,Female
28,P4,5,Sample review,This is a sample product review,5,Footwear,Female
29,P4,4,Sample review,This is a sample product review,4,Cosmetics,Female
30,P4,1,Sample review,This is a sample product review,1,Food,Female
31,P1,2,Sample review,This is a sample product review,2,Food,Male
32,P3,1,Sample review,This is a sample product review,1,Food,Female
33,P2,2,Sample review,This is a sample product review,2,Cosmetics,Male
34,P4,3,Sample review,This is a sample product review,3,Cosmetics,Male
